"The data was provided by Prof Monty Pride, Oceanlab, University of Aberdeen, Aberdeen, UK"							
							Graph
2056	"2,8"	14	"49,555"	"-14,1833"			
2595	"2,8"	14	"49,555"	"-14,1833"			
2740	"2,8"	14	"49,555"	"-14,1833"			
2236	"2,61"	14	"49,555"	"-14,1833"			
2307	"2,43"	14	"49,555"	"-14,1833"			
2668	"2,43"	14	"49,555"	"-14,1833"			
2777	"2,43"	14	"49,555"	"-14,1833"			
1947	"2,24"	14	"49,555"	"-14,1833"			
2093	"2,24"	14	"49,555"	"-14,1833"			
2128	"1,87"	14	"49,555"	"-14,1833"			
2706	"1,87"	14	"49,555"	"-14,1833"			
2631	"1,68"	14	"49,555"	"-14,1833"			
2883	"1,68"	14	"49,555"	"-14,1833"			
2919	"1,68"	14	"49,555"	"-14,1833"			
2812	"1,49"	14	"49,555"	"-14,1833"			
2849	"1,49"	14	"49,555"	"-14,1833"			
2957	"1,31"	14	"49,555"	"-14,1833"			
"591,24"	"78,66923996"	15	"49,807"	"-14,0643"			
"554,97"	"77,93401342"	15	"49,807"	"-14,0643"			
"518,7"	"59,55334988"	15	"49,807"	"-14,0643"			
"627,51"	"56,61244371"	15	"49,807"	"-14,0643"			
"663,78"	"51,28205128"	15	"49,807"	"-14,0643"			
"700,05"	"38,96700671"	15	"49,807"	"-14,0643"			
"772,59"	"34,37184082"	15	"49,807"	"-14,0643"			
"808,86"	"31,98235456"	15	"49,807"	"-14,0643"			
"736,32"	"27,57099531"	15	"49,807"	"-14,0643"			
"990,21"	"23,15963606"	15	"49,807"	"-14,0643"			
"917,67"	"22,97582943"	15	"49,807"	"-14,0643"			
"845,13"	"22,42440952"	15	"49,807"	"-14,0643"			
"953,94"	"21,13776307"	15	"49,807"	"-14,0643"			
"1026,48"	"20,03492326"	15	"49,807"	"-14,0643"			
"881,4"	"18,74827681"	15	"49,807"	"-14,0643"			
"1099,02"	"17,82924364"	15	"49,807"	"-14,0643"			
"1316,64"	"16,54259719"	15	"49,807"	"-14,0643"			
"1135,29"	"15,99117728"	15	"49,807"	"-14,0643"			
"1171,56"	"15,80737065"	15	"49,807"	"-14,0643"			
"1244,1"	"14,33691756"	15	"49,807"	"-14,0643"			
"1207,83"	"14,15311093"	15	"49,807"	"-14,0643"			
"1280,37"	"14,15311093"	15	"49,807"	"-14,0643"			
"1389,18"	"11,9474313"	15	"49,807"	"-14,0643"			
"1352,91"	"11,21220476"	15	"49,807"	"-14,0643"			
"1497,99"	"10,10936495"	15	"49,807"	"-14,0643"			
"1461,72"	"8,8227185"	15	"49,807"	"-14,0643"			
"1425,45"	"8,271298594"	15	"49,807"	"-14,0643"			
"1534,26"	"7,536072052"	15	"49,807"	"-14,0643"			
"1788,15"	"4,778972521"	15	"49,807"	"-14,0643"			
"1896,96"	"4,41135925"	15	"49,807"	"-14,0643"			
"1860,69"	"3,859939344"	15	"49,807"	"-14,0643"			
"1969,5"	"3,676132708"	15	"49,807"	"-14,0643"			
"2404,74"	"3,676132708"	15	"49,807"	"-14,0643"			
"2477,28"	"3,676132708"	15	"49,807"	"-14,0643"			
"1933,23"	"3,492326073"	15	"49,807"	"-14,0643"			
"2005,77"	"3,308519438"	15	"49,807"	"-14,0643"			
"1824,42"	"3,124712802"	15	"49,807"	"-14,0643"			
"2368,47"	"3,124712802"	15	"49,807"	"-14,0643"			
"2259,66"	"2,940906167"	15	"49,807"	"-14,0643"			
"2767,44"	"2,940906167"	15	"49,807"	"-14,0643"			
"2694,9"	"2,757099531"	15	"49,807"	"-14,0643"			
"2586,09"	"2,573292896"	15	"49,807"	"-14,0643"			
"2731,17"	"2,573292896"	15	"49,807"	"-14,0643"			
"2078,31"	"2,38948626"	15	"49,807"	"-14,0643"			
"2441,01"	"2,38948626"	15	"49,807"	"-14,0643"			
"2513,55"	"2,38948626"	15	"49,807"	"-14,0643"			
"2622,36"	"2,38948626"	15	"49,807"	"-14,0643"			
"2150,85"	"2,205679625"	15	"49,807"	"-14,0643"			
"2658,63"	"2,205679625"	15	"49,807"	"-14,0643"			
"2042,04"	"2,02187299"	15	"49,807"	"-14,0643"			
"2295,93"	"2,02187299"	15	"49,807"	"-14,0643"			
"2549,82"	"2,02187299"	15	"49,807"	"-14,0643"			
"2114,58"	"1,838066354"	15	"49,807"	"-14,0643"			
"2223,39"	"1,470453083"	15	"49,807"	"-14,0643"			
"2187,12"	"1,286646448"	15	"49,807"	"-14,0643"			
"2803,71"	"1,102839813"	15	"49,807"	"-14,0643"			
598	"53,37"	16	"49,0322"	"-16,1493"			
631	"51,32"	16	"49,0322"	"-16,1493"			
700	"42,42"	16	"49,0322"	"-16,1493"			
666	"38,32"	16	"49,0322"	"-16,1493"			
1317	"37,29"	16	"49,0322"	"-16,1493"			
1352	"36,27"	16	"49,0322"	"-16,1493"			
1417	"32,16"	16	"49,0322"	"-16,1493"			
1386	"31,82"	16	"49,0322"	"-16,1493"			
938	"28,74"	16	"49,0322"	"-16,1493"			
1009	"28,74"	16	"49,0322"	"-16,1493"			
974	"26,34"	16	"49,0322"	"-16,1493"			
1652	26	16	"49,0322"	"-16,1493"			
1043	"25,66"	16	"49,0322"	"-16,1493"			
1719	"25,66"	16	"49,0322"	"-16,1493"			
1686	"22,24"	16	"49,0322"	"-16,1493"			
2048	"15,05"	16	"49,0322"	"-16,1493"			
1751	"14,71"	16	"49,0322"	"-16,1493"			
2080	"12,66"	16	"49,0322"	"-16,1493"			
2015	"11,63"	16	"49,0322"	"-16,1493"			
2378	"10,95"	16	"49,0322"	"-16,1493"			
2114	"8,9"	16	"49,0322"	"-16,1493"			
2345	"6,16"	16	"49,0322"	"-16,1493"			
2711	"5,47"	16	"49,0322"	"-16,1493"			
2412	"4,11"	16	"49,0322"	"-16,1493"			
2445	"4,11"	16	"49,0322"	"-16,1493"			
2744	"4,11"	16	"49,0322"	"-16,1493"			
2779	"3,42"	16	"49,0322"	"-16,1493"			
3044	"3,42"	16	"49,0322"	"-16,1493"			
3441	"2,39"	16	"49,0322"	"-16,1493"			
3473	"2,39"	16	"49,0322"	"-16,1493"			
3742	"2,05"	16	"49,0322"	"-16,1493"			
3776	"2,05"	16	"49,0322"	"-16,1493"			
3140	"1,71"	16	"49,0322"	"-16,1493"			
3406	"1,71"	16	"49,0322"	"-16,1493"			
2810	"1,37"	16	"49,0322"	"-16,1493"			
3074	"1,37"	16	"49,0322"	"-16,1493"			
3810	"1,37"	16	"49,0322"	"-16,1493"			
3841	"1,37"	16	"49,0322"	"-16,1493"			
4109	"1,37"	16	"49,0322"	"-16,1493"			
4174	"1,03"	16	"49,0322"	"-16,1493"			
4141	"0,68"	16	"49,0322"	"-16,1493"			
4206	"0,68"	16	"49,0322"	"-16,1493"			
4766	"0,68"	16	"49,0322"	"-16,1493"			
4797	"0,68"	16	"49,0322"	"-16,1493"			
4866	"0,68"	16	"49,0322"	"-16,1493"			
3108	"0,34"	16	"49,0322"	"-16,1493"			
3509	"0,34"	16	"49,0322"	"-16,1493"			
4437	"0,34"	16	"49,0322"	"-16,1493"			
4469	"0,34"	16	"49,0322"	"-16,1493"			
4502	"0,34"	16	"49,0322"	"-16,1493"			
4831	0	16	"49,0322"	"-16,1493"			
724	"28,7"	17	"48,7772"	"-16,4845"			
858	"27,59"	17	"48,7772"	"-16,4845"			
689	"24,24"	17	"48,7772"	"-16,4845"			
655	"23,97"	17	"48,7772"	"-16,4845"			
823	"21,46"	17	"48,7772"	"-16,4845"			
1185	"19,79"	17	"48,7772"	"-16,4845"			
758	"18,95"	17	"48,7772"	"-16,4845"			
924	"17,83"	17	"48,7772"	"-16,4845"			
1252	"17,83"	17	"48,7772"	"-16,4845"			
1087	"17,28"	17	"48,7772"	"-16,4845"			
1216	"17,28"	17	"48,7772"	"-16,4845"			
556	"16,72"	17	"48,7772"	"-16,4845"			
891	"16,72"	17	"48,7772"	"-16,4845"			
1152	"16,72"	17	"48,7772"	"-16,4845"			
956	"16,44"	17	"48,7772"	"-16,4845"			
1054	"16,44"	17	"48,7772"	"-16,4845"			
1651	"16,16"	17	"48,7772"	"-16,4845"			
1119	"15,88"	17	"48,7772"	"-16,4845"			
790	"15,05"	17	"48,7772"	"-16,4845"			
623	"14,49"	17	"48,7772"	"-16,4845"			
987	"14,21"	17	"48,7772"	"-16,4845"			
1684	"14,21"	17	"48,7772"	"-16,4845"			
1022	"13,1"	17	"48,7772"	"-16,4845"			
1718	"12,26"	17	"48,7772"	"-16,4845"			
1783	"11,37"	17	"48,7772"	"-16,4845"			
588	"8,64"	17	"48,7772"	"-16,4845"			
1749	"6,13"	17	"48,7772"	"-16,4845"			
2343	"5,29"	17	"48,7772"	"-16,4845"			
2375	"4,74"	17	"48,7772"	"-16,4845"			
2408	"4,74"	17	"48,7772"	"-16,4845"			
2472	"4,35"	17	"48,7772"	"-16,4845"			
2441	"4,18"	17	"48,7772"	"-16,4845"			
3060	"2,79"	17	"48,7772"	"-16,4845"			
3844	"2,23"	17	"48,7772"	"-16,4845"			
3093	"1,95"	17	"48,7772"	"-16,4845"			
3811	"1,95"	17	"48,7772"	"-16,4845"			
3160	"1,39"	17	"48,7772"	"-16,4845"			
4424	"1,39"	17	"48,7772"	"-16,4845"			
3877	"1,34"	17	"48,7772"	"-16,4845"			
3125	"1,11"	17	"48,7772"	"-16,4845"			
3192	1	17	"48,7772"	"-16,4845"			
4488	"0,84"	17	"48,7772"	"-16,4845"			
3746	"0,56"	17	"48,7772"	"-16,4845"			
3778	"0,56"	17	"48,7772"	"-16,4845"			
4551	"0,33"	17	"48,7772"	"-16,4845"			
4455	"0,28"	17	"48,7772"	"-16,4845"			
4521	"0,28"	17	"48,7772"	"-16,4845"			
580	"36,33"	18	"49,4647"	"-15,57"			
516	"31,63"	18	"49,4647"	"-15,57"			
549	"31,42"	18	"49,4647"	"-15,57"			
709	"26,5"	18	"49,4647"	"-15,57"			
612	"25,43"	18	"49,4647"	"-15,57"			
1224	"25,01"	18	"49,4647"	"-15,57"			
678	"24,37"	18	"49,4647"	"-15,57"			
646	"22,23"	18	"49,4647"	"-15,57"			
741	"22,23"	18	"49,4647"	"-15,57"			
1189	"22,23"	18	"49,4647"	"-15,57"			
1125	"21,59"	18	"49,4647"	"-15,57"			
867	"20,73"	18	"49,4647"	"-15,57"			
1617	"20,3"	18	"49,4647"	"-15,57"			
1649	"20,09"	18	"49,4647"	"-15,57"			
1030	"19,66"	18	"49,4647"	"-15,57"			
1684	"19,66"	18	"49,4647"	"-15,57"			
772	"18,59"	18	"49,4647"	"-15,57"			
1092	"18,59"	18	"49,4647"	"-15,57"			
1158	"18,59"	18	"49,4647"	"-15,57"			
804	"17,74"	18	"49,4647"	"-15,57"			
898	"17,53"	18	"49,4647"	"-15,57"			
834	"16,46"	18	"49,4647"	"-15,57"			
1748	"16,16"	18	"49,4647"	"-15,57"			
963	"15,18"	18	"49,4647"	"-15,57"			
1718	"14,96"	18	"49,4647"	"-15,57"			
995	"14,53"	18	"49,4647"	"-15,57"			
931	"13,04"	18	"49,4647"	"-15,57"			
1063	"13,04"	18	"49,4647"	"-15,57"			
2339	"9,4"	18	"49,4647"	"-15,57"			
2307	"7,91"	18	"49,4647"	"-15,57"			
2405	"5,13"	18	"49,4647"	"-15,57"			
2371	"4,49"	18	"49,4647"	"-15,57"			
2435	"3,85"	18	"49,4647"	"-15,57"			
3059	"2,35"	18	"49,4647"	"-15,57"			
3028	"1,92"	18	"49,4647"	"-15,57"			
3772	"1,92"	18	"49,4647"	"-15,57"			
3157	"1,8"	18	"49,4647"	"-15,57"			
3124	"1,71"	18	"49,4647"	"-15,57"			
3740	"1,28"	18	"49,4647"	"-15,57"			
3803	"1,28"	18	"49,4647"	"-15,57"			
3092	"1,07"	18	"49,4647"	"-15,57"			
3833	"1,03"	18	"49,4647"	"-15,57"			
3707	"0,85"	18	"49,4647"	"-15,57"			
4462	"0,64"	18	"49,4647"	"-15,57"			
4401	"0,43"	18	"49,4647"	"-15,57"			
4432	"0,21"	18	"49,4647"	"-15,57"			
4368	0	18	"49,4647"	"-15,57"			
4494	0	18	"49,4647"	"-15,57"			
1508	"46,69"	19	"49,7792"	"-13,6275"			
1544	"40,16"	19	"49,7792"	"-13,6275"			
1330	"35,93"	19	"49,7792"	"-13,6275"			
1147	"35,54"	19	"49,7792"	"-13,6275"			
640	"35,35"	19	"49,7792"	"-13,6275"			
1111	"34,78"	19	"49,7792"	"-13,6275"			
1578	"34,2"	19	"49,7792"	"-13,6275"			
1686	"34,2"	19	"49,7792"	"-13,6275"			
1291	"34,01"	19	"49,7792"	"-13,6275"			
1614	"33,05"	19	"49,7792"	"-13,6275"			
1721	"32,28"	19	"49,7792"	"-13,6275"			
604	"31,51"	19	"49,7792"	"-13,6275"			
1437	"30,93"	19	"49,7792"	"-13,6275"			
1218	"29,97"	19	"49,7792"	"-13,6275"			
567	"29,59"	19	"49,7792"	"-13,6275"			
1401	"29,01"	19	"49,7792"	"-13,6275"			
1183	"28,63"	19	"49,7792"	"-13,6275"			
1795	"28,24"	19	"49,7792"	"-13,6275"			
1364	"27,86"	19	"49,7792"	"-13,6275"			
1830	"27,86"	19	"49,7792"	"-13,6275"			
673	"27,47"	19	"49,7792"	"-13,6275"			
1473	"27,28"	19	"49,7792"	"-13,6275"			
1757	"26,71"	19	"49,7792"	"-13,6275"			
928	"24,21"	19	"49,7792"	"-13,6275"			
745	"22,67"	19	"49,7792"	"-13,6275"			
1075	"22,67"	19	"49,7792"	"-13,6275"			
1868	"22,67"	19	"49,7792"	"-13,6275"			
856	"22,48"	19	"49,7792"	"-13,6275"			
1038	"21,52"	19	"49,7792"	"-13,6275"			
708	"20,94"	19	"49,7792"	"-13,6275"			
818	"20,75"	19	"49,7792"	"-13,6275"			
781	"20,56"	19	"49,7792"	"-13,6275"			
1900	"20,37"	19	"49,7792"	"-13,6275"			
963	"19,79"	19	"49,7792"	"-13,6275"			
531	"18,83"	19	"49,7792"	"-13,6275"			
1938	"17,29"	19	"49,7792"	"-13,6275"			
1974	"16,52"	19	"49,7792"	"-13,6275"			
1001	"15,18"	19	"49,7792"	"-13,6275"			
2191	"8,45"	19	"49,7792"	"-13,6275"			
2228	"6,92"	19	"49,7792"	"-13,6275"			
2296	"5,76"	19	"49,7792"	"-13,6275"			
2262	"5,19"	19	"49,7792"	"-13,6275"			
2512	"3,46"	19	"49,7792"	"-13,6275"			
2548	"3,07"	19	"49,7792"	"-13,6275"			
2618	"3,07"	19	"49,7792"	"-13,6275"			
2583	"2,88"	19	"49,7792"	"-13,6275"			
2866	"2,69"	19	"49,7792"	"-13,6275"			
2901	"2,11"	19	"49,7792"	"-13,6275"			
2831	"1,73"	19	"49,7792"	"-13,6275"			
